Player,Position,Weight,Team,Nationality,Year,Region,Selection_Type,Height_Feet,Height_Inch,Height_In_Inches,NBA_Draft_Year,NBA_Draft_Round,NBA_Draft_Pick
Allen Iverson,G,165,Philadelphia Sixers,United States,2010,East,Fans,6,0,72,1996.0,1.0,1.0
LeBron James,F,250,Cleveland Cavaliers,United States,2010,East,Fans,6,9,81,2003.0,1.0,1.0
Joe Johnson,SG,240,Atlanta Hawks,United States,2010,East,Coaches,6,7,79,2001.0,1.0,10.0
David Lee,FC,245,New York Knicks,United States,2010,Eastern,Replacement,6,9,81,2005.0,1.0,30.0
Paul Pierce,SF,235,Boston Celtics,United States,2010,East,Coaches,6,7,79,1998.0,1.0,10.0
Rajon Rondo,PG,180,Boston Celtics,United States,2010,East,Coaches,6,1,73,2006.0,1.0,21.0
Derrick Rose,PG,200,Chicago Bulls,United States,2010,East,Coaches,6,3,75,2008.0,1.0,1.0
Dwyane Wade,SG,220,Miami Heat,United States,2010,East,Fans,6,4,76,2003.0,1.0,5.0
Gerald Wallace,F,220,Charlotte Bobcats,United States,2010,East,Coaches,6,7,79,2001.0,1.0,25.0
Vin Baker,PF,240,Milwaukee Bucks,United States,1995,East,Coaches,6,11,83,1993.0,1.0,8.0
Dana Barros,PG,165,Philadelphia Sixers,United States,1995,East,Coaches,5,11,71,1989.0,1.0,16.0
Joe Dumars,SG,190,Detroit Pistons,United States,1995,East,Coaches,6,3,75,1985.0,1.0,18.0
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1995,East,Coaches,7,0,84,1985.0,1.0,1.0
Penny Hardaway,PG,195,Orlando Magic,United States,1995,East,Fans,6,7,79,1993.0,1.0,3.0
Grant Hill,SF,225,Detroit Pistons,United States,1995,East,Fans,6,8,80,1994.0,1.0,3.0
Tyrone Hill,PF,240,Cleveland Cavaliers,United States,1995,East,Coaches,6,9,81,1990.0,1.0,11.0
Larry Johnson,F,250,Charlotte Hornets,United States,1995,East,Coaches,6,6,78,1991.0,1.0,1.0
Reggie Miller,SG,185,Indiana Pacers,United States,1995,East,Fans,6,7,79,1987.0,1.0,11.0
Alonzo Mourning,C,240,Charlotte Hornets,United States,1995,East,Coaches,6,10,82,1992.0,1.0,2.0
Shaquille O'Neal,C,325,Orlando Magic,United States,1995,East,Fans,7,1,85,1992.0,1.0,1.0
Scottie Pippen,SF,228,Chicago Bulls,United States,1995,East,Fans,6,8,80,1987.0,1.0,5.0
Larry Bird,SF,220,Boston Celtics,United States,1986,East,Fans,6,9,81,1978.0,1.0,6.0
Mo Cheeks,PG,180,Philadelphia Sixers,United States,1986,East,Coaches,6,1,73,1978.0,2.0,14.0
Julius Erving,SF,200,Philadelphia Sixers,United States,1986,East,Fans,6,6,78,1972.0,1.0,12.0
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1986,East,Coaches,7,0,84,1985.0,1.0,1.0
Michael Jordan,SG,215,Chicago Bulls,United States,1986,East,Fans,6,6,78,1984.0,1.0,3.0
Jeff Malone,SG,205,Washington Bullets,United States,1986,East,Coaches,6,4,76,1983.0,1.0,10.0
Moses Malone,C,215,Philadelphia Sixers,United States,1986,East,Fans,6,10,82,,,
Kevin McHale,PF,210,Boston Celtics,United States,1986,East,Coaches,6,10,82,1980.0,1.0,3.0
Sidney Moncrief,SG,180,Milwaukee Bucks,United States,1986,Eastern,Replacement,6,3,75,1979.0,1.0,5.0
Robert Parish,C,230,Boston Celtics,United States,1986,East,Coaches,7,0,84,1976.0,1.0,8.0
Isiah Thomas,PG,180,Detroit Pistons,United States,1986,East,Fans,6,1,73,1981.0,1.0,2.0
Dominique Wilkins,SF,200,Atlanta Hawks,United States,1986,East,Coaches,6,7,79,1982.0,1.0,3.0
Buck Williams,PF,215,New Jersey Nets,United States,1986,East,Coaches,6,8,80,1981.0,1.0,3.0
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2003,West,Fans,6,6,78,1996.0,1.0,13.0
Tim Duncan,FC,250,San Antonio Spurs,United States,2003,West,Fans,6,11,83,1997.0,1.0,1.0
Steve Francis,G,195,Houston Rockets,United States,2003,West,Fans,6,3,75,1999.0,1.0,2.0
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,2003,West,Fans,6,11,83,1995.0,1.0,5.0
Stephon Marbury,G,180,Phoenix Suns,United States,2003,West,Coaches,6,2,74,1996.0,1.0,4.0
Shawn Marion,F,228,Phoenix Suns,United States,2003,West,Coaches,6,7,79,1999.0,1.0,9.0
Yao Ming,C,310,Houston Rockets,China,2003,West,Fans,7,6,90,2002.0,1.0,1.0
Steve Nash,G,178,Dallas Mavericks,Canada South Africa,2003,West,Coaches,6,3,75,1996.0,1.0,15.0
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2003,West,Coaches,7,0,84,1998.0,1.0,9.0
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,2003,West,Coaches,7,1,85,1992.0,1.0,1.0
Gary Payton,G,180,Seattle SuperSonics,United States,2003,West,Coaches,6,4,76,1990.0,1.0,2.0
Peja Stojakovic,F,229,Sacramento Kings,Serbia Greece,2003,Western,Replacement,6,10,82,1996.0,1.0,14.0
Chris Webber,F-C,245,Sacramento Kings,United States,2003,West,Coaches,6,9,81,1993.0,1.0,1.0
