"Players","Tm","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X3P.","FT.","Player_Type","Region","Year"
"Larry Bird","BOS","35:00",8,18,2,4,5,6,2,6,8,5,7,0,4,5,23,0.444,0.5,0.833,"Starter","East",1986
"Moses Malone","PHI","34:00",5,12,0,0,6,9,5,8,13,0,1,0,1,4,16,0.417,NA,0.667,"Starter","East",1986
"Sidney Moncrief","MIL","26:00",4,11,1,1,7,7,3,0,3,1,0,1,0,0,16,0.364,1,1,"Starter","East",1986
"Julius Erving","PHI","19:00",4,10,0,0,0,2,1,3,4,2,2,0,2,2,8,0.4,NA,0,"Starter","East",1986
"Buck Williams","NJN","20:00",5,8,0,0,3,5,3,4,7,4,0,0,1,0,13,0.625,NA,0.6,"Reserve","East",1986
"Kevin McHale","BOS","20:00",3,8,0,0,2,2,3,7,10,2,0,4,0,4,8,0.375,NA,1,"Reserve","East",1986
"Dominique Wilkins","ATL","17:00",6,15,0,0,1,2,2,1,3,2,0,1,1,2,13,0.4,NA,0.5,"Reserve","East",1986
"Maurice Cheeks","PHI","14:00",3,6,0,0,0,0,0,0,0,2,2,0,3,0,6,0.5,NA,NA,"Reserve","East",1986
"Jeff Malone","WSB","12:00",3,5,0,0,0,0,0,1,1,4,1,0,0,0,6,0.6,NA,NA,"Reserve","East",1986
"Robert Parish","BOS","7:00",0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,NA,NA,0,"Reserve","East",1986
"Kareem Abdul-Jabbar","LAL","32:00",9,15,0,0,3,4,2,5,7,2,2,2,5,4,21,0.6,NA,0.75,"Starter","West",1986
"James Worthy","LAL","28:00",10,19,0,2,0,0,2,1,3,2,0,2,1,3,20,0.526,0,NA,"Starter","West",1986
"Magic Johnson","LAL","28:00",1,3,0,1,4,4,0,4,4,15,1,0,9,4,6,0.333,0,1,"Starter","West",1986
"Ralph Sampson","HOU","21:00",7,11,0,0,2,2,1,3,4,1,0,0,2,4,16,0.636,NA,1,"Starter","West",1986
"Alvin Robertson","SAS","20:00",2,6,0,0,0,0,1,8,9,5,0,0,4,1,4,0.333,NA,NA,"Starter","West",1986
